,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Ushuaia,AR,-54.81,33.8,80,75,18.34
1,Hermanus,ZA,-34.42,36.75,90,0,2.15
2,Vaini,IN,15.34,68.61,98,92,3.49
3,Albany,US,42.65,72.66,53,90,5.82
4,Rome,IT,41.89,72.48,64,40,10.29
5,Albany,US,42.65,72.66,53,90,5.82
6,Carnarvon,ZA,-30.97,31.26,66,0,4.38
7,Ushuaia,AR,-54.81,33.8,80,75,18.34
8,Beringovskiy,RU,63.05,44.4,100,8,8.41
9,Yar-Sale,RU,66.83,49.35,79,68,14.34
10,Port Hardy,CA,50.7,55.4,93,90,8.05
11,Qaanaaq,GL,77.48,31.98,98,68,3.6
12,Cocobeach,GA,1.01,78.8,74,20,6.93
13,Albany,US,42.65,72.66,53,90,5.82
14,Victoria,BN,5.28,78.8,100,75,1.12
15,Pevek,RU,69.7,42.51,78,0,2.71
16,Albany,US,42.65,72.66,53,90,5.82
17,Kindu,CD,-2.95,75.36,76,76,3.71
18,Rio Cuarto,AR,-33.13,66.2,45,0,9.17
19,Homer,US,59.64,55.31,71,1,9.17
20,Cidreira,BR,-30.17,63.57,86,8,1.7
21,Lasa,CY,34.92,75.97,78,40,8.05
22,Upernavik,GL,72.79,32.7,95,36,11.77
23,Shushtar,IR,32.05,90.12,16,0,11.88
24,Rikitea,PF,-23.12,72.03,100,44,7.74
25,Hiriyur,IN,13.94,70.14,94,76,12.1
26,Gayeri,BF,12.65,85.53,52,0,12.66
27,Thompson,CA,55.74,78.8,44,75,3.36
28,Airai,TL,-8.93,64.38,89,0,1.81
29,Barrow,AR,-38.31,57.54,53,0,11.43
30,Sturgeon Bay,US,44.83,74.37,56,1,8.05
31,Hithadhoo,MV,-0.6,83.91,100,56,6.4
32,Rikitea,PF,-23.12,72.03,100,44,7.74
33,Punta Arenas,CL,-53.16,35.6,80,40,24.16
34,Lebu,ET,8.96,45.21,85,0,1.7
35,Guerrero Negro,MX,27.97,73.11,62,0,9.98
36,Rize,TR,41.02,75.2,78,75,4.7
37,Belyy Yar,RU,53.6,66.2,59,40,5.06
38,Puerto Ayora,EC,-0.74,86.0,51,20,20.8
39,Lagoa,PT,37.14,69.8,88,0,8.05
40,Bluff,AU,-23.58,39.9,89,36,2.82
41,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
42,Nikolskoye,RU,59.7,57.2,47,20,11.18
43,Arraial do Cabo,BR,-22.97,71.6,83,0,14.99
44,Punta Arenas,CL,-53.16,35.6,80,40,24.16
45,Rio Gallegos,AR,-51.62,39.2,93,0,28.86
46,Hermanus,ZA,-34.42,36.75,90,0,2.15
47,Punta Arenas,CL,-53.16,35.6,80,40,24.16
48,Busselton,AU,-33.64,60.87,100,88,7.74
49,Hamilton,BM,32.3,80.6,74,40,18.34
50,Along,IN,28.17,71.4,95,88,0.81
51,Hithadhoo,MV,-0.6,83.91,100,56,6.4
52,Waitati,NZ,-45.75,26.76,91,0,4.94
53,Busselton,AU,-33.64,60.87,100,88,7.74
54,Mehamn,NO,71.03,44.6,100,75,5.82
55,Cidreira,BR,-30.17,63.57,86,8,1.7
56,Nome,US,30.04,87.82,66,75,12.75
57,Kaitangata,NZ,-46.28,26.85,76,0,3.94
58,Chuy,UY,-33.69,60.96,87,0,4.61
59,Imbituba,BR,-28.24,69.8,73,0,5.84
60,Bethel,US,60.79,55.4,66,90,3.36
61,Piacabucu,BR,-10.41,75.54,70,88,9.42
62,Yovon,TJ,38.32,71.6,46,40,6.71
63,Nikolskoye,RU,59.7,57.2,47,20,11.18
64,Tevaitoa,PF,-16.78,81.39,96,68,18.25
65,Bud,NO,62.91,48.78,71,75,12.75
66,Cape Town,ZA,-33.93,48.2,100,0,2.24
67,Bredasdorp,ZA,-34.53,46.4,93,0,5.82
68,Rikitea,PF,-23.12,72.03,100,44,7.74
69,Margate,AU,-43.03,42.8,75,20,9.17
70,Ushuaia,AR,-54.81,33.8,80,75,18.34
71,Uarini,BR,-2.98,86.0,70,40,9.17
72,Punta Arenas,CL,-53.16,35.6,80,40,24.16
73,Upernavik,GL,72.79,32.7,95,36,11.77
74,Airai,TL,-8.93,64.38,89,0,1.81
75,Hilo,US,19.71,76.6,69,20,10.29
76,Ushuaia,AR,-54.81,33.8,80,75,18.34
77,Mataura,NZ,-46.19,24.33,77,0,2.37
78,Bangkalan,ID,-7.05,79.05,98,92,3.15
79,Airai,TL,-8.93,64.38,89,0,1.81
80,Mataura,NZ,-46.19,24.33,77,0,2.37
81,Thinadhoo,MV,0.53,80.94,100,12,2.93
